ID,n_points_used,r_min,r_max,v_max,model_chosen,delta_BIC,delta_BIC_raw,delta_BIC_chi,bic_status,s_frac,chi2_red,R2,AIC,AICc,BIC,Qexp,ring_A,ring_r,ring_sigma,DW,rho_AR1,BP_pvalue,conservative_sigma,resid_ar1_flagged,rmse_holdout,mae_holdout,r2_holdout,delta_rmse_in,delta_rmse_holdout,bound_hits_chosen,bound_hits_f7,bound_hits_f10,fit_status
amB,9,0.16,1.79,20.1,LCDM-ISO,-22.977974759319814,-22.977974759319814,2.1972156521992314,both_finite,0.0,0.6459818732185937,0.9735744105347912,10.733770247868033,20.733770247868033,11.52266855721291,nan,nan,nan,nan,0.3143670608938186,0.9936524118325482,0.441694938288687,True,True,nan,nan,nan,-3.008128907254031,nan,2,2,2,OK
512-2,4,nan,nan,nan,NA,nan,nan,nan,both_fail,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,0,0,0,too_few_points
564-8,6,0.51,3.07,25.0,LCDM-ISO,-20.19991672870166,-20.19991672870166,-1.5248051354418148,both_finite,0.0,0.06634486846557028,0.9978536036621249,-7.131004518841424,32.86899548115858,-7.963966641929204,nan,nan,nan,nan,2.1202359045254764,-0.24091492318306598,0.7081146550553168,True,False,nan,nan,nan,-1.2422388932360071,nan,1,2,1,OK
631-7,16,0.45,7.19,58.5,LCDM-ISO,-42.058987651187756,-42.058987651187756,-4.501884841324717,both_finite,0.0,0.40033423066853047,0.9890890199560923,21.474173189501165,25.110536825864802,24.56452807846029,nan,nan,nan,nan,0.6190836926959202,0.5087716106722421,0.062434427750403663,True,True,nan,nan,nan,-4.14767203375756,nan,1,2,1,OK
DO064,14,0.1,2.98,46.9,LCDM-ISO,-10.08667639629796,-10.08667639629796,-5.854708612412654,both_finite,0.0,0.39168864722774216,0.9621620988981628,36.47512881782925,40.919573262273694,39.03135813629029,nan,nan,nan,nan,0.6536380255949799,0.6410720364215652,0.39119039906131436,True,True,nan,nan,nan,-1.1990148988519822,nan,1,1,1,OK
DO154,12,0.49,5.92,48.2,LCDM-ISO,-12.923408432472232,-12.923408432472232,4.208882374102295,both_finite,0.023162841796875,1.000069259707063,0.9860076302552736,11.440341005105674,17.154626719391388,13.379967604257676,nan,nan,nan,nan,0.5896447969966296,1.0424842743266913,0.0914224539708617,False,True,nan,nan,nan,-0.8233483413476637,nan,0,2,0,OK
DO161,31,0.6,13.37,67.5,LCDM-ISO,-11.963291596371725,-11.963291596371725,-6.530334003256474,both_finite,0.0,0.3618937015803815,0.9935360258091667,28.890289133037275,30.428750671498815,34.62623795097786,nan,nan,nan,nan,0.5563489491224674,0.6986298137934711,0.004679327541948875,True,True,nan,nan,nan,-0.29810118776902095,nan,0,1,0,OK
DO168,10,0.41,4.12,55.0,LCDM-ISO,-11.472764863612316,-11.472764863612316,1.1966830934350714,both_finite,0.070733642578125,1.000014685221213,0.9508463777560691,29.74716048309844,37.74716048309844,30.957500855074624,nan,nan,nan,nan,0.8456577005073945,0.60494666654691,0.10979932821597752,False,True,nan,nan,nan,-2.2981266515346017,nan,1,2,1,OK
DO170,8,1.87,12.33,62.2,LCDM-NFW,-8.84604720291614,-8.84604720291614,0.6586691439363133,both_finite,0.04954833984375,1.0000899389619098,0.9585693495759944,20.639406000717464,33.9727393340508,20.95717216743681,nan,nan,nan,nan,1.163319533463062,0.11572408987882293,0.07672047720101638,False,False,nan,nan,nan,0.0,nan,1,1,1,OK
SO079-G014,15,0.41,16.67,178.0,LCDM-ISO,-12.942751827418277,-12.942751827418277,4.929811010573907,both_finite,0.024731445312500003,1.0000814643011067,0.9834848103536857,63.97033042425297,67.97033042425298,66.8025312286618,nan,nan,nan,nan,0.6632358007628192,0.6227032644755507,0.017292821471021375,False,True,nan,nan,nan,-3.485014061280796,nan,0,2,0,OK
