ID,BIC_EGR,AICc_EGR,s_frac_EGR,chi2_red_x,rho_EGR,BIC_LCDM,AICc_LCDM,s_frac_LCDM,chi2_red_y,rho_LCDM,dBIC,dAICc,d_sfrac,d_rho
GC2955,125.49663522544374,130.6391738450412,0.02232666015625,1.0000550371962422,0.1513978473568361,127.9373095986976,125.33035743520055,0.036700439453125,1.000063281922253,0.384171912229344,2.440674373253856,-5.308816409840645,0.014373779296874997,0.2327740648725079
GC2955,125.49663522544374,130.6391738450412,0.02232666015625,1.0000550371962422,0.1513978473568361,127.93732190609629,125.33036974259925,0.036700439453125,1.0000633736886382,0.384171884517839,2.440686680652547,-5.308804102441954,0.014373779296874997,0.23277403716100292
GC4013,126.77008601231364,119.73489662775256,0.0,0.3874529663874759,0.6606580338527972,129.96457811185,124.9208249386707,0.0,0.7736139666296827,0.8046109087148517,3.1944920995363475,5.185928310918143,0.0,0.14395287486205455
GC4013,126.77008601231364,119.73489662775256,0.0,0.3874529663874759,0.6606580338527972,129.96457906769444,124.92082589451516,0.0,0.7736139663116297,0.8046109066869378,3.1944930553808035,5.185929266762599,0.0,0.1439528728341406
GC2998,65.79263703556408,170.14314346094872,0.0,0.920449766491212,-0.4202416126731521,69.04310775721605,71.7833103273699,0.00882568359375,0.9999400304541364,0.4066895890593041,3.250470721651965,-98.35983313357882,0.00882568359375,0.8269312017324562
583-1,72.93962106293588,76.46514852853959,0.0,0.1475807916614421,-0.0345746812679443,76.9671550752109,74.0916517757381,0.0,0.3983659771887367,0.4553082067607526,4.027534012275012,-2.3734967528014863,0.0,0.48988288802869695
GC5033,71.34891852207956,80.43849398849639,0.0,0.7403818005819973,0.2358193082224484,75.55195343695391,73.54072479999122,0.0166305541992187,0.9999968107370582,0.7116170755516149,4.203034914874351,-6.8977691885051655,0.0166305541992187,0.4757977673291665
GC5033,71.34891852207956,80.43849398849639,0.0,0.7403818005819973,0.2358193082224484,75.55196148858481,73.54073285162214,0.0166305541992187,0.9999980049771298,0.711617119471928,4.203042966505251,-6.8977611368742515,0.0166305541992187,0.47579781124947956
GC08550,12.800408302295477,8.821455574311768,0.0,0.7788923327132187,-0.1994605855657382,17.156185445468356,22.23127102094154,0.0,0.694712994425067,-0.0804050904212615,4.35577714317288,13.409815446629773,0.0,0.1190554951444767
GC08550,12.800408302295477,8.821455574311768,0.0,0.7788923327132187,-0.1994605855657382,17.15630929684291,22.231394872316095,0.0,0.694873673440952,-0.0805141039483405,4.355900994547433,13.409939298004327,0.0,0.1189464816173977
GC08550,12.800408302295477,8.821455574311768,0.0,0.7788923327132187,-0.1994605855657382,17.163552091802487,22.238637667275672,0.0,0.6946474493929987,-0.0803854491077353,4.36314378950701,13.417182092963904,0.0,0.1190751364580029
GC00731,9.58883975793479,224.7397732600548,0.0,0.2182215432501193,-0.578578598054773,14.167004032663211,17.941663147796927,0.0,0.3226173059090301,0.1403355343496544,4.578164274728421,-206.79811011225786,0.0,0.7189141324044274
GC00731,9.58883975793479,224.7397732600548,0.0,0.2182215432501193,-0.578578598054773,14.167022768198237,17.941681883331952,0.0,0.3226104058280369,0.1403332000970541,4.578183010263446,-206.79809137672282,0.0,0.718911798151827
568-V1,50.28671079060767,98.20620877958557,0.0,0.0730357983922256,0.1302764426076562,55.08286225650576,56.250661452096914,0.0,0.1026987147337151,0.4464896788941515,4.796151465898092,-41.95554732748865,0.0,0.3162132362864953
GC07524,40.49436381838456,37.15449177353311,0.0,0.1720883210541396,0.0409979214738409,45.52936299938309,41.33187571990404,0.0,0.3225820176408209,0.6575153281404771,5.034999180998533,4.177383946370931,0.0,0.6165174066666362
