ID,BIC_EGR,AICc_EGR,s_frac_EGR,rho_EGR,BIC_LCDM,AICc_LCDM,s_frac_LCDM,rho_LCDM,dBIC,dAICc,d_sfrac,d_rho
GC6946,266.13421713571415,250.21063809407977,0.0,0.7028469671700254,176.01959165781489,168.53253659676128,0.0125152587890625,0.705056760683371,-90.11462547789927,-81.6781014973185,0.0125152587890625,0.0022097935133456037
GC06787,455.1008542166102,436.1407221128637,0.029229736328125,0.6855671088319804,366.72529068649897,358.2806317843943,0.03948974609375,0.8537534696829812,-88.37556353011121,-77.86009032846943,0.010260009765625001,0.1681863608510008
GC5055,131.29047955045604,130.90961091929225,0.013287353515625,0.2894645438062894,65.36008885373391,61.77040124781571,0.00732421875,0.485223213574447,-65.93039069672213,-69.13920967147654,-0.005963134765624999,0.1957586697681576
GC02916,233.54585509185907,222.80885393492343,0.0,0.8695814608047937,173.18882041300583,167.19665152917895,0.0114471435546875,0.8492189807572561,-60.35703467885324,-55.61220240574448,0.0114471435546875,-0.0203624800475376
GC08699,248.3298980028217,238.52751066911193,0.0,0.7865343031630284,189.5126268936945,183.76944973798837,0.0,0.7334858617267354,-58.817271109127205,-54.758060931123566,0.0,-0.05304844143629306
GC00128,103.16049391958302,112.25006938599986,0.019097900390625,0.2154195105818192,50.887414534628704,48.876185897666026,0.013604736328125,0.2934507889070804,-52.273079384954315,-63.37388348833384,-0.005493164062499998,0.07803127832526116
GC2403,237.77385739136813,218.4176500766584,0.031646728515625,0.8882402260112854,196.25429063752156,187.68068816704564,0.030084228515625,0.921966024525874,-41.51956675384656,-30.736961909612745,-0.0015625000000000014,0.03372579851458857
GC03546,150.65755152051142,148.2245250723109,0.0,0.07771196535356,114.05507759658144,110.05028806993282,0.0,0.4982739000699385,-36.60247392392998,-38.17423700237809,0.0,0.4205619347163785
GC0100,46.52711732852311,58.08189295128888,0.0,0.6089363380948867,19.64614551758466,17.96805576669097,0.0,0.6683871434835703,-26.88097181093845,-40.11383718459791,0.0,0.059450805388683636
C2574,87.56477683445007,81.8663889795928,0.009796142578125,0.2247658630110842,66.0278696004144,61.30173784677734,0.0287353515625,0.4767323910036951,-21.536907234035667,-20.564651132815456,0.018939208984375,0.2519665279926109
GC6015,186.56301649228624,175.3877868197703,0.044891357421875,0.5467068499029109,166.55845305357863,160.4473355435466,0.034075927734375,0.7241005919962752,-20.004563438707606,-14.940451276223712,-0.010815429687500003,0.17739374209336434
GC3109,26.551075418892538,30.07660288449624,0.0,0.2819483406468691,8.988090562199314,6.112587262726511,0.0,0.2827573126966265,-17.562984856693223,-23.96401562176973,0.0,0.0008089720497574393
GC2976,62.27254861922686,63.06417995918357,0.0,0.4352095907451449,45.416010697685216,42.05084505184972,0.0,0.4505264523590418,-16.856537921541644,-21.01333490733385,0.0,0.015316861613896893
571-8,56.3066755142475,160.65718193963212,0.050537109375,-0.0241456290581832,40.11137117447933,42.851573744633185,0.0,-0.0293016841242004,-16.19530433976817,-117.80560819499894,-0.050537109375,-0.005156055066017202
GC6195,127.99360871367216,134.971999887714,0.01773681640625,0.0421759318142879,111.94209452737452,109.62233988588014,0.0205352783203125,0.2087519030700695,-16.051514186297638,-25.349660001833854,0.002798461914062498,0.1665759712557816
GC3741,36.82271700697028,48.377492629736054,0.0,0.4056748476249402,22.213458179716163,20.535368428822473,0.0,0.5101073615673059,-14.609258827254116,-27.84212420091358,0.0,0.10443251394236563
GC2683,67.47728714765827,63.49833441967456,0.12392578125,-0.4972915557610062,55.14825548961709,60.223341065090274,0.0,-0.245728656322168,-12.329031658041181,-3.2749933545842893,-0.12392578125,0.2515628994388382
GC00891,6.137959493789362,10.04358036944836,0.0,-0.6854437104977382,-5.403146295061075,-3.840897944797476,0.0,-0.9905199092167856,-11.541105788850437,-13.884478314245836,0.0,-0.30507619871904734
GC12732,27.62560604267301,63.8997188202752,0.0,0.2010093018782562,16.869610328855458,17.41561907625997,0.0,0.3874247868060755,-10.755995713817551,-46.484099744015225,0.0,0.1864154849278193
GC0300,78.34947760173966,81.87500506734337,0.0,0.3985898349846304,68.33145002534407,65.45594672587127,0.0,0.4874323921383949,-10.018027576395596,-16.419058341472095,0.0,0.08884255715376449
GC0801,84.8713651380491,189.22187156343375,0.0953613281249999,-0.0368723118723108,76.08616399291355,78.82636656306741,0.09207763671875,0.3262845531417189,-8.785201145135545,-110.39550500036634,-0.0032836914062499,0.36315686501402966
GC05918,1.4344679691925537,0.6400525523941951,0.0,-0.4023882229669538,-6.720065258135715,6.2955019084782755,0.0,-0.1729943634462818,-8.154533227328269,5.65544935608408,0.0,0.229393859520672
GC07089,26.265652290722837,241.4165857928428,0.0,-0.3820679287424346,19.92107978813613,23.69573890326984,0.0,0.0008544804446854,-6.344572502586708,-217.72084688957295,0.0,0.38292240918712
GC3992,40.28958336736859,38.3173375940064,0.017547607421875,-0.4974142301706495,34.03104833400794,43.24215002466306,0.0,-0.0744981168214001,-6.258535033360651,4.924812430656658,-0.017547607421875,0.4229161133492494
GC06983,71.32285443228943,99.65738765839392,0.0,-0.2664147943812279,65.70964555382936,65.71012551093783,0.0,0.0095957502584545,-5.613208878460071,-33.94726214745609,0.0,0.2760105446396824
GC3769,46.452809861252206,261.6037433633722,0.0,-0.0200766722122424,40.91790543278644,44.69256454792016,0.0,0.5049772198561007,-5.534904428465765,-216.91117881545202,0.0,0.5250538920683431
