ID,n_points_used,r_min,r_max,v_max,model_chosen,delta_BIC,delta_BIC_raw,delta_BIC_chi,bic_status,s_frac,chi2_red,R2,AIC,AICc,BIC,Qexp,ring_A,ring_r,ring_sigma,DW,rho_AR1,BP_pvalue,conservative_sigma,resid_ar1_flagged,rmse_holdout,mae_holdout,r2_holdout,delta_rmse_in,delta_rmse_holdout,bound_hits_chosen,bound_hits_f7,bound_hits_f10,fit_status
GC4068,6,0.21,2.33,41.9,EGR-10,-339.9257186819252,-339.9257186819252,-1242.106070002448,F7_fallback,0.0,1.4091435905684783e-22,1.0,-283.33971824449065,-283.33971824449065,-285.4221235522101,76.96227646427747,2.760275991172582,1.3305847257329615,0.3841318281993656,0.42732612669008546,0.7979869767594273,0.014305878435430104,True,True,nan,nan,nan,-77.34116637075253,nan,2,0,3,OK
GC4085,7,0.87,6.2,136.0,EGR-10,-67.01880779122351,-67.01880779122351,-9.18860029822946,F7_fallback,0.0,0.025875451187878106,0.9998856743623682,5.195606324990427,5.195606324990427,4.654707815543558,498.21704221670814,18.593584356102614,3.0097544317822607,1.1542473441519145,3.4536138585529588,-1.02826672550601,0.0556300501111371,True,True,nan,nan,nan,-62.87019129828752,nan,1,0,1,OK
GC4088,12,1.74,21.48,182.0,EGR-10,-67.53808317070016,-67.53808317070016,3.1043377981376032,F7_fallback,0.0,0.32477484042175336,0.9951643389596405,34.1854900285297,254.1854900285297,39.0345565264097,904.1664507419437,69.99573581152795,5.552803853231016,4.736708925441982,2.4379585992182595,-0.30331504434683737,0.2809211710843338,True,True,nan,nan,nan,-39.283664223201576,nan,2,0,1,OK
GC4100,24,2.61,22.76,195.0,EGR-10,-87.38084094353488,-87.38084094353488,1.140710070912661,F7_fallback,0.0,0.6147707264861463,0.936607498660137,91.7611626895885,108.68423961266542,103.54170099306796,832.9527363351752,45.939250138697396,6.5355854083919835,7.1014805504209955,0.7133220921514156,0.5471253719600779,0.3255144062489649,True,True,nan,nan,nan,-29.125646519823277,nan,1,0,1,OK
GC4138,7,2.61,18.58,195.0,EGR-10,-36.19576072402831,-36.19576072402831,4.883601813136217,F7_fallback,0.0,0.045893984218013543,0.9934247237681981,25.41564791972511,25.41564791972511,24.87474941027824,584.8831595550861,145.26986358872895,2.844470913057743,5.388918584046812,3.403370281827855,-0.7287864463568204,0.6469636865588222,True,True,nan,nan,nan,-28.17035287120727,nan,2,0,1,OK
GC4157,17,1.74,29.61,201.0,EGR-10,-97.67571212781948,-97.67571212781948,-0.9149055956404872,F7_fallback,0.0,0.08370654459968711,0.9958762811462051,33.336000291541524,70.00266695820818,41.66813373210368,1116.0332551580611,41.79994915354746,5.522370609214554,3.7210419431898263,1.3555606517244498,0.28759161511355724,0.6783806365466176,True,False,nan,nan,nan,-32.13711363772866,nan,2,0,2,OK
GC4183,23,0.87,21.02,115.0,EGR-10,-169.08992438333638,-169.08992438333638,-33.65476424098642,F7_fallback,0.0,0.07375260241266803,0.9940238070417369,32.22663266892687,50.5599660022602,43.581574828218365,278.873316465737,6.813272360204893,8.878183387825144,1.2112048230316856,1.914784400861473,-0.001292114594552626,0.18280024060543199,True,False,nan,nan,nan,-61.88598046093152,nan,1,0,1,OK
GC4214,14,0.21,5.63,80.6,EGR-10,-124.13488734243516,-124.13488734243516,-13.000121493268107,F7_fallback,0.0,0.023337991581768247,0.9967030270809747,-2.5143434441392607,70.81898988919407,3.8762298520133243,63.77923569372353,3.6884784945014517,2.4626706685169477,0.5890311287221328,2.5654693290578092,-0.32611455848985244,0.02945246274162101,True,True,nan,nan,nan,-49.55406365503568,nan,1,0,1,OK
GC4217,19,0.87,16.72,191.0,EGR-10,-80.16283548515939,-80.16283548515939,-7.193054277346363,F7_fallback,0.026049804687500004,0.9999254968272943,0.9738751974807035,86.16292674790188,113.66292674790188,95.60731653956628,604.2143587963068,16.733743579838176,8.457879796679661,4.062501752138652,0.8049863993418171,0.32167876437333853,0.01126636030465329,False,True,nan,nan,nan,-56.141943091155824,nan,1,0,1,OK
GC4389,6,0.87,5.32,110.0,EGR-10,-49.72016941165379,-49.72016941165379,-27.914082187281895,F7_fallback,0.0,0.04063853135944512,0.9996206213660654,12.483359778745754,12.483359778745754,10.400954471026303,194.79605803041903,8.38231307454896,1.759412861997728,0.7968924404105291,3.497866905047666,-0.8815033749799622,0.118387326720119,True,True,nan,nan,nan,-52.180425214779056,nan,1,0,2,OK
GC4559,32,0.67,20.97,124.0,EGR-10,-226.84518845034964,-226.84518845034964,-39.87402659026712,F7_fallback,0.0,0.07867379367762758,0.9944850102077047,41.63733910963877,52.11352958582925,56.29469813763603,391.95819712694544,38.01672594909944,15.610531659322236,9.890400270504651,1.0684016256862503,0.4649422887875581,0.0077427462496531705,True,True,nan,nan,nan,-56.01649094009813,nan,2,0,1,OK
GC5005,18,0.49,11.47,265.0,EGR-10,-118.54266399605797,-118.54266399605797,-1.975285581422515,F7_fallback,0.0,0.06353277331375341,0.9336466919404783,70.33770563036236,101.7662770589338,79.24142320932401,892.8664116385498,11.236251187982585,3.3430975738489233,0.7502971412387975,2.9955863755076244,-0.5849733257582657,0.028289831335352573,True,True,nan,nan,nan,-134.60878956849024,nan,0,0,0,OK
GC5033,22,0.76,44.59,225.0,EGR-10,-78.15775690732929,-78.15775690732929,3.1574101346139614,F7_fallback,0.0,0.7403818005819973,0.9532810043860009,60.4384939884964,80.43849398849639,71.34891852207956,901.9927945055161,19.43423025596777,24.91118437822484,5.036290477181754,1.4340383569610433,0.23581930822244848,0.5189735548885201,True,False,nan,nan,nan,-15.77892073196615,nan,0,0,0,OK
GC5055,28,0.72,54.59,206.0,EGR-10,-102.17628276996889,-102.17628276996889,6.996552122476942,F7_fallback,0.013287353515625001,0.999961867039061,0.8860672342056644,117.96843444870402,130.90961091929225,131.29047955045604,521.4788627024102,9.817809994593416,17.7458912879947,5.224376134973649,1.2652595579621473,0.28946454380628944,0.20805505457038156,False,False,nan,nan,nan,-32.97481723025909,nan,0,0,0,OK
GC5371,19,1.45,46.24,242.0,EGR-10,-85.89007750318683,-85.89007750318683,3.469552126621359,F7_fallback,0.0,0.7372321967936549,0.9755991060724654,44.37326101426149,71.87326101426149,53.817650805925894,808.8643720890158,106.05698585401292,16.511804968071957,11.325858484183414,1.7612617565617747,0.11421828537830196,0.3852607232888089,True,False,nan,nan,nan,-21.06929506440299,nan,2,0,2,OK
GC5585,24,0.09,10.96,92.3,EGR-10,-154.94736589872247,-154.94736589872247,-981.5328082275919,F7_fallback,0.18303222656250004,1.0000017306282765,0.988449342350781,69.2024266953352,86.12550361841213,80.98296499881467,99.34228396297553,11.479017255319755,6.313012749766745,3.445985148724734,1.1766975970650961,-0.037278388867010626,0.09674759271943859,False,False,nan,nan,nan,-94.14687203949073,nan,0,0,0,OK
GC5907,19,5.03,50.33,235.0,EGR-10,-41.33315025549636,-41.33315025549636,5.832813933627186,F7_fallback,0.014578247070312501,1.00000030787543,0.8186352198455862,66.18055048905879,93.68055048905879,75.62494028072318,102.24593671525759,8.880965186450931,22.12968479996306,4.51370570452796,2.0535714854916614,-0.02683797269020506,0.2224906341635757,False,False,nan,nan,nan,-9.912135729527883,nan,0,0,0,OK
GC5985,33,3.54,34.72,305.0,EGR-10,-225.44437837530762,-225.44437837530762,-1.0541081937893892,F7_fallback,0.0,0.6285858775328035,0.9771775507162644,91.13808337402634,101.13808337402634,106.10315898869115,617.1284619273,26.67020639354901,10.456884680980428,3.087060970492468,1.602927041166876,0.17125884253253845,0.2872504757795631,True,False,nan,nan,nan,-101.91891261016454,nan,1,0,1,OK
GC6015,44,0.34,29.23,166.0,EGR-10,-196.56887618728678,-196.56887618728678,-38.23646566540748,F7_fallback,0.04489135742187501,1.000050327942751,0.9592317110268376,168.72112015310364,175.3877868197703,186.56301649228624,153.87708728542918,45.61464845523389,2.6610457636196263,2.148339527063336,0.8099388121411546,0.5467068499029109,0.2827696746881804,False,True,nan,nan,nan,-50.981462057522535,nan,1,0,2,OK
GC6195,23,1.33,36.43,258.0,EGR-10,-63.404962694017144,-63.404962694017144,6.405409658342087,F7_fallback,0.01773681640625,0.999959946070012,0.7399438828017767,116.63866655438066,134.971999887714,127.99360871367216,194.22836277531968,33.23992443007544,24.57179179218634,12.470976093146058,1.4790656048814852,0.04217593181428794,0.13629746658055972,False,False,nan,nan,nan,-48.79051619572545,nan,0,0,0,OK
