param,n,median,MAD,p16,p84
cC2,157,80.49377984896716,114.80677062547275,6.892896890042556,571.1935546916537
alpha_Ric,157,1197.1068336299104,1893.8294468713223,13.894672872818406,86697.221737942
B,157,-121.1094654712223,1728.9317871993067,-2167.484350966639,64857.49275748621
